charger_id,gun_a_status,gun_b_status,gun_a_power,gun_b_power,gun_a_qty,gun_b_qty,gun_a_soc,gun_b_soc,alarm_old,phase_a_volt_under,phase_b_volt_under,phase_c_volt_under,phase_a_volt_over,phase_b_volt_over,phase_c_volt_over,phase_a_curr_over,phase_b_curr_over,phase_c_curr_over
10022001,1,1,30,0,0,0,,,0,0,0,0,0,0,0,0,0,0
10022001,1,1,30,0,0,0,,,0,0,0,0,0,0,0,0,0,0
10022001,1,1,30,0,0,0,,,170,0,0,0,0,0,0,0,0,0
10022001,1,1,30,0,0,0,,,0,0,0,0,0,0,0,0,0,0
10022001,1,1,30,0,0,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,30,0,1,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,31,0,2,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,32,0,3,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,33,0,4,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,34,0,5,0,,,0,0,0,0,268,0,0,0,0,0
10022001,0,1,35,0,6,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,36,0,7,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,37,0,8,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,38,0,9,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,39,0,10,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,40,0,11,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,41,0,12,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,42,0,13,0,,,0,0,0,0,0,0,0,123,0,0
10022001,0,1,43,0,14,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,44,0,15,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,45,0,16,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,46,0,17,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,47,0,18,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,48,0,19,0,,,0,0,0,0,0,0,0,0,0,0
10022001,0,1,49,0,20,0,,,0,0,0,0,0,0,0,0,0,0
10022001,1,1,49,0,0,0,,,0,0,0,0,0,0,0,0,0,0
10022001,1,1,49,0,0,0,,,173,0,0,0,0,0,0,0,0,0
10022001,1,1,49,0,0,0,,,0,0,0,0,0,0,0,0,0,0
10022001,1,1,49,0,0,0,,,0,0,0,0,0,0,0,0,0,0
10022001,1,1,49,0,0,0,,,0,0,0,0,0,0,0,0,0,0
